iter	MultiClass
0	1.259053017
1	1.168248576
2	1.095467402
3	1.017573453
4	0.9595565488
5	0.9013757307
6	0.8541659238
7	0.8122497668
8	0.7702323369
9	0.7406065633
10	0.7131971307
11	0.6823627946
12	0.6573740485
13	0.635460775
14	0.6124170471
15	0.5961495946
16	0.5709514854
17	0.5470379745
18	0.5276377473
19	0.5145997237
20	0.5010303254
21	0.4865405839
22	0.4719474108
23	0.4576789126
24	0.446241149
25	0.4329735918
26	0.4229675809
27	0.412894323
28	0.4019907609
29	0.3928158412
30	0.3862680176
31	0.37951718
32	0.3726196838
33	0.3672030293
34	0.3580529688
35	0.352452328
36	0.3482916289
37	0.3425797839
38	0.3352759694
39	0.3321211206
40	0.3263885447
41	0.3192762877
42	0.316207569
43	0.3118175353
44	0.3072397045
45	0.3022061814
46	0.2984035439
47	0.2957437464
48	0.2909559376
49	0.2882041811
50	0.2839582949
51	0.2830898137
52	0.279928019
53	0.2763867179
54	0.2719745648
55	0.2689770035
56	0.2668070911
57	0.2645725873
58	0.2616779155
59	0.2599670712
60	0.2588365417
61	0.2561023975
62	0.2541531704
63	0.2517180427
64	0.2500164509
65	0.2483366135
66	0.2466998312
67	0.2457251397
68	0.2422048726
69	0.2390698933
70	0.2378509282
71	0.2349937604
72	0.233562129
73	0.2323444973
74	0.2295721095
75	0.2273822628
76	0.2252033514
77	0.2240941311
78	0.2225873071
79	0.2208702517
80	0.2190947681
81	0.2177861316
82	0.2164137729
83	0.2151871496
84	0.2138644062
85	0.2121678713
86	0.211310687
87	0.2105529837
88	0.209574172
89	0.2069817238
90	0.2058738791
91	0.2049681472
92	0.2031696877
93	0.2023770298
94	0.2014299485
95	0.2001272478
96	0.1982975384
97	0.1969976789
98	0.1945856371
99	0.1927676506
100	0.1912402389
101	0.1891185583
102	0.1873133774
103	0.1865863687
104	0.1858582713
105	0.1847627792
106	0.1835063829
107	0.1813670592
108	0.1802477714
109	0.1787969782
110	0.1775374235
111	0.1761088358
112	0.1744708815
113	0.1730090709
114	0.1715739214
115	0.1707912745
116	0.1693246527
117	0.1689603677
118	0.1674342098
119	0.1662823661
120	0.1657145451
121	0.1642684988
122	0.1636020198
123	0.1624503553
124	0.1619767865
125	0.1613482136
126	0.1603169508
127	0.1588653107
128	0.1579894158
129	0.1568688701
130	0.1559190859
131	0.154739864
132	0.153731661
133	0.1527114719
134	0.1520703682
135	0.150958735
136	0.1500378906
137	0.1494445515
138	0.1482387778
139	0.1479198757
140	0.1468016431
141	0.1455375376
142	0.1443768971
143	0.1437762177
144	0.1435994833
145	0.1426716299
146	0.1414212882
147	0.1404510371
148	0.1397721943
149	0.1391514867
150	0.1382034519
151	0.137677785
152	0.1368570675
153	0.1363375715
154	0.1360772137
155	0.1354614938
156	0.1350519865
157	0.1344722635
158	0.1334009559
159	0.1328900032
160	0.1322496773
161	0.1319084034
162	0.1316566075
163	0.1310806891
164	0.1302645684
165	0.129825775
166	0.129400875
167	0.1287196432
168	0.1280617355
169	0.1275353904
170	0.1267609002
171	0.1259757899
172	0.1257036066
173	0.1250429191
174	0.1247211066
175	0.1243930338
176	0.1240853409
177	0.1235445144
178	0.1229054934
179	0.1222546659
180	0.1217982171
181	0.1213350299
182	0.1210483679
183	0.1204376799
184	0.1198048843
185	0.1191036389
186	0.1186062718
187	0.118294347
188	0.1177632764
189	0.1165578137
190	0.1160125891
191	0.1157278242
