iter	Passed	Remaining
0	14	14947
1	20	10134
2	25	8538
3	31	7786
4	40	8112
5	49	8283
6	55	7865
7	60	7507
8	66	7357
9	72	7198
10	78	7050
11	84	6962
12	89	6822
13	94	6680
14	99	6563
15	106	6560
16	111	6431
17	115	6321
18	121	6287
19	126	6214
20	132	6182
21	138	6175
22	143	6116
23	148	6051
24	155	6061
25	163	6112
26	168	6059
27	174	6051
28	179	6013
29	184	5974
30	191	5992
31	197	5962
32	201	5899
33	207	5897
34	213	5887
35	218	5838
36	223	5820
37	228	5790
38	233	5764
39	239	5737
40	245	5736
41	250	5705
42	254	5673
43	260	5668
44	266	5646
45	270	5609
46	276	5603
47	281	5581
48	286	5554
49	292	5563
50	298	5552
51	303	5530
52	308	5512
53	314	5508
54	319	5486
55	323	5454
56	328	5434
57	332	5399
58	336	5366
59	340	5336
60	346	5327
61	350	5298
62	354	5270
63	358	5245
64	363	5232
65	368	5211
66	372	5184
67	376	5159
68	381	5144
69	386	5129
70	390	5110
71	395	5099
72	400	5083
73	404	5064
74	408	5043
75	414	5035
76	419	5029
77	424	5017
78	431	5027
79	437	5029
80	442	5015
81	448	5021
82	454	5015
83	458	5001
84	464	4998
85	469	4989
86	474	4975
87	478	4961
88	484	4960
89	489	4951
90	494	4942
91	500	4942
92	505	4927
93	509	4910
94	513	4895
95	518	4887
96	523	4868
97	526	4849
98	531	4837
99	536	4827
100	540	4813
101	545	4799
102	549	4788
103	555	4786
104	559	4771
105	563	4755
106	568	4748
107	573	4735
108	577	4720
109	581	4705
110	587	4703
111	591	4688
112	595	4671
113	599	4658
114	604	4652
115	608	4638
116	612	4625
117	617	4612
118	622	4606
119	626	4594
120	630	4579
121	634	4566
122	639	4559
123	643	4547
124	647	4533
125	652	4523
126	657	4517
127	661	4505
128	665	4491
129	669	4483
130	674	4474
131	678	4462
132	682	4449
133	686	4438
134	691	4430
135	695	4416
136	699	4403
137	703	4394
138	708	4387
139	712	4375
140	716	4364
141	722	4366
142	726	4355
143	730	4342
144	734	4331
145	739	4325
146	743	4316
147	747	4304
148	751	4292
149	755	4283
150	760	4274
151	764	4263
152	768	4253
153	772	4246
154	777	4237
155	781	4226
156	785	4216
157	789	4207
158	794	4200
159	798	4192
160	802	4182
161	806	4173
162	811	4164
163	815	4155
164	819	4146
165	823	4137
166	827	4129
167	831	4119
168	836	4111
169	840	4104
170	845	4097
171	849	4089
172	853	4081
173	857	4072
174	862	4066
175	866	4056
176	870	4049
177	875	4041
178	879	4035
179	883	4026
180	888	4018
181	892	4012
182	897	4006
183	901	3998
184	906	3991
185	911	3987
186	915	3980
187	920	3974
188	924	3966
189	929	3963
190	934	3958
191	939	3953
192	944	3949
193	950	3947
194	954	3940
195	959	3934
196	963	3928
197	967	3920
198	972	3912
199	976	3904
200	980	3897
201	984	3889
202	988	3882
203	993	3875
204	997	3867
205	1001	3860
206	1005	3851
207	1009	3844
208	1014	3838
209	1018	3831
210	1022	3823
211	1026	3814
212	1030	3807
213	1035	3804
214	1040	3797
215	1043	3789
216	1048	3783
217	1052	3776
218	1056	3769
219	1061	3762
220	1065	3757
221	1070	3750
222	1074	3744
223	1079	3738
224	1083	3733
225	1088	3729
226	1093	3723
227	1097	3715
228	1101	3709
229	1106	3705
230	1111	3699
231	1115	3691
232	1119	3685
233	1124	3681
234	1128	3674
235	1132	3667
236	1137	3662
237	1143	3660
238	1147	3655
239	1153	3653
240	1159	3650
241	1163	3645
242	1168	3639
243	1173	3636
244	1178	3630
245	1182	3624
246	1187	3619
247	1191	3614
248	1196	3610
249	1202	3607
250	1208	3605
251	1213	3602
252	1218	3597
253	1222	3591
254	1227	3587
255	1233	3583
256	1238	3579
257	1242	3573
258	1247	3568
259	1251	3561
260	1255	3555
261	1260	3550
262	1264	3544
263	1269	3538
264	1274	3533
265	1279	3529
266	1283	3523
267	1287	3517
268	1292	3513
269	1297	3509
270	1301	3502
271	1306	3496
272	1311	3493
273	1316	3487
274	1320	3481
275	1325	3476
276	1329	3471
277	1334	3464
278	1339	3461
279	1344	3456
280	1349	3454
281	1356	3452
282	1361	3448
283	1365	3443
284	1370	3438
285	1375	3434
286	1380	3429
287	1384	3423
288	1389	3417
289	1393	3412
290	1399	3409
291	1403	3403
292	1407	3397
293	1412	3392
294	1417	3387
295	1421	3381
296	1426	3376
297	1431	3372
298	1436	3367
299	1440	3360
300	1445	3355
301	1449	3350
302	1453	3344
303	1458	3338
304	1463	3334
305	1467	3329
306	1472	3323
307	1476	3318
308	1481	3313
309	1486	3307
310	1490	3301
311	1494	3295
312	1499	3290
313	1503	3284
314	1507	3278
315	1512	3274
316	1516	3268
317	1521	3262
318	1525	3256
319	1529	3250
320	1533	3244
321	1537	3237
322	1541	3231
323	1546	3226
324	1550	3220
325	1554	3214
326	1559	3209
327	1563	3204
328	1568	3199
329	1573	3193
330	1576	3187
331	1581	3181
332	1585	3176
333	1589	3170
334	1594	3164
335	1599	3160
336	1603	3155
337	1607	3148
338	1611	3143
339	1616	3137
340	1620	3131
341	1624	3124
342	1628	3118
343	1632	3112
344	1636	3106
345	1640	3101
346	1644	3094
347	1648	3088
348	1652	3082
349	1656	3076
350	1660	3069
351	1664	3064
352	1668	3058
353	1672	3052
354	1676	3045
355	1680	3039
356	1685	3034
357	1689	3029
358	1693	3023
359	1697	3017
360	1702	3012
361	1706	3007
362	1710	3000
363	1713	2994
364	1718	2988
365	1722	2983
366	1726	2977
367	1730	2972
368	1735	2967
369	1739	2961
370	1743	2955
371	1747	2950
372	1751	2944
373	1755	2938
374	1759	2932
375	1763	2927
376	1767	2921
377	1772	2915
378	1775	2909
379	1779	2903
380	1784	2898
381	1787	2892
382	1792	2886
383	1796	2881
384	1800	2876
385	1805	2872
386	1810	2867
387	1814	2862
388	1820	2860
389	1825	2854
390	1829	2849
391	1833	2843
392	1838	2838
393	1842	2833
394	1846	2827
395	1850	2823
396	1855	2818
397	1859	2813
398	1863	2807
399	1868	2802
400	1872	2797
401	1876	2791
402	1881	2787
403	1885	2781
404	1889	2776
405	1894	2771
406	1898	2766
407	1902	2760
408	1906	2755
409	1911	2750
410	1915	2744
411	1919	2739
412	1923	2734
413	1928	2729
414	1932	2723
415	1936	2717
416	1940	2712
417	1944	2706
418	1948	2702
419	1952	2696
420	1956	2691
421	1960	2685
422	1965	2680
423	1969	2674
424	1973	2669
425	1987	2678
426	1992	2674
427	1997	2669
